file,chi2,convergence,niter,neval,regPen,prior,regul,mu,gamma,tau,wavemin,wavemax,spectral_feature
/home/rtc/Documents/rtpav/image_reco/GRAVITY_K/MIRA_prior-Dirac_continuum-wave-2.1-2.29um-reg-hyperbolic_fov44_pixSc0.7/imageReco_GRAVITY_K_prior-Dirac_wave-2.1-2.29_regul-hyperbolic_mu-100000.0_tau-0.0001_fov-44_pixSc-0.7.fits,8.594188263973,True,657,712,0.9979896785164,Dirac,hyperbolic,100000.0,,0.0001,2.1,2.29,continuum
/home/rtc/Documents/rtpav/image_reco/GRAVITY_K/MIRA_prior-Dirac_continuum-wave-2.1-2.29um-reg-hyperbolic_fov44_pixSc0.7/imageReco_GRAVITY_K_prior-Dirac_wave-2.1-2.29_regul-hyperbolic_mu-100000.0_tau-0.01_fov-44_pixSc-0.7.fits,8.572773942085,True,672,762,0.7155949858683,Dirac,hyperbolic,100000.0,,0.01,2.1,2.29,continuum
/home/rtc/Documents/rtpav/image_reco/GRAVITY_K/MIRA_prior-Dirac_continuum-wave-2.1-2.29um-reg-hyperbolic_fov44_pixSc0.7/imageReco_GRAVITY_K_prior-Dirac_wave-2.1-2.29_regul-hyperbolic_mu-100000.0_tau-1.0_fov-44_pixSc-0.7.fits,8.133551468058,True,1799,2112,0.07601424672604,Dirac,hyperbolic,100000.0,,1.0,2.1,2.29,continuum
/home/rtc/Documents/rtpav/image_reco/GRAVITY_K/MIRA_prior-Dirac_HeI-wave-2.038-2.078um-reg-compactness_fov44_pixSc0.7/imageReco_GRAVITY_K_prior-Dirac_wave-2.038-2.078_regul-compactness_mu-0.0_gamma-1.0_fov-44_pixSc-0.7.fits,7.506596323108,True,4608,4999,0.0,Dirac,compactness,0.0,1.0,,2.038,2.078,HeI
/home/rtc/Documents/rtpav/image_reco/GRAVITY_K/MIRA_prior-Dirac_HeI-wave-2.038-2.078um-reg-compactness_fov44_pixSc0.7/imageReco_GRAVITY_K_prior-Dirac_wave-2.038-2.078_regul-compactness_mu-0.0_gamma-50.5_fov-44_pixSc-0.7.fits,7.506596323108,True,4608,4999,0.0,Dirac,compactness,0.0,50.5,,2.038,2.078,HeI
/home/rtc/Documents/rtpav/image_reco/GRAVITY_K/MIRA_prior-Dirac_HeI-wave-2.038-2.078um-reg-compactness_fov44_pixSc0.7/imageReco_GRAVITY_K_prior-Dirac_wave-2.038-2.078_regul-compactness_mu-0.0_gamma-100.0_fov-44_pixSc-0.7.fits,7.506596323108,True,4608,4999,0.0,Dirac,compactness,0.0,100.0,,2.038,2.078,HeI
/home/rtc/Documents/rtpav/image_reco/GRAVITY_K/MIRA_prior-Dirac_HeI-wave-2.038-2.078um-reg-compactness_fov44_pixSc0.7/imageReco_GRAVITY_K_prior-Dirac_wave-2.038-2.078_regul-compactness_mu-1.0_gamma-1.0_fov-44_pixSc-0.7.fits,7.506597103729,False,4606,5000,1.15772121518,Dirac,compactness,1.0,1.0,,2.038,2.078,HeI
/home/rtc/Documents/rtpav/image_reco/GRAVITY_K/MIRA_prior-Dirac_HeI-wave-2.038-2.078um-reg-compactness_fov44_pixSc0.7/imageReco_GRAVITY_K_prior-Dirac_wave-2.038-2.078_regul-compactness_mu-1.0_gamma-50.5_fov-44_pixSc-0.7.fits,7.506597735178,False,4559,5000,0.07620313107387,Dirac,compactness,1.0,50.5,,2.038,2.078,HeI
/home/rtc/Documents/rtpav/image_reco/GRAVITY_K/MIRA_prior-Dirac_HeI-wave-2.038-2.078um-reg-compactness_fov44_pixSc0.7/imageReco_GRAVITY_K_prior-Dirac_wave-2.038-2.078_regul-compactness_mu-1.0_gamma-100.0_fov-44_pixSc-0.7.fits,7.506623327618,False,4594,5000,0.07637706646359,Dirac,compactness,1.0,100.0,,2.038,2.078,HeI
/home/rtc/Documents/rtpav/image_reco/GRAVITY_K/MIRA_prior-Dirac_HeI-wave-2.038-2.078um-reg-compactness_fov44_pixSc0.7/imageReco_GRAVITY_K_prior-Dirac_wave-2.038-2.078_regul-compactness_mu-316.22776601683796_gamma-1.0_fov-44_pixSc-0.7.fits,7.507675429139,False,4567,5000,1.068156255226,Dirac,compactness,316.22776601683796,1.0,,2.038,2.078,HeI
