wvl_list,ud_mean,ud_err,ud_redchi2
2.2210756469576154e-06,3.4734032175260943,[0.00215609 0.00222665],13.838529950664267
2.234290150227025e-06,3.4272754094469793,[0.0018839  0.00205793],16.84222285169855
2.247504653496435e-06,3.4281099970218527,[0.00202212 0.00209318],20.551524461109242
2.2607191567658447e-06,3.4331464134611624,[0.00236223 0.00233494],15.392546853584484
2.2739336600352544e-06,3.4235571683152597,[0.0021164  0.00214926],26.838147621536788
2.287148163304664e-06,3.434410912502664,[0.00204368 0.00202791],27.529176247586648
2.300362666574074e-06,3.498102817213114,[0.00209124 0.0021384 ],36.604422961650414
2.3135771698434837e-06,3.488769903703051,[0.00253613 0.00236339],35.445504988563975
2.3267916731128935e-06,3.698977436453431,[0.00220046 0.0021928 ],33.456627311672236
2.3400061763823032e-06,3.478814622580954,[0.00225422 0.00229471],34.338309831105924
2.353220679651713e-06,4.013365050391961,[0.00341447 0.00333205],25.865032091301117
2.3664351829211228e-06,3.5980347615513746,[0.00294113 0.00288894],42.98679562740892
2.3796496861905325e-06,3.7476182979282227,[0.00300792 0.00313904],39.49558701687826
2.3928641894599423e-06,3.8002515744193492,[0.00362357 0.00371631],34.83194750855414
1.97000008483883e-06,3.5887917350766223,[0.00472435 0.00523598],10.334077621398913
1.9832145881082397e-06,3.5933760169665256,[0.00178815 0.00183484],65.89505769102104
1.9964290913776495e-06,3.6067256513329453,[0.00170128 0.00169993],81.27497161814011
2.0096435946470592e-06,3.6164534300557563,[0.00321279 0.00314617],30.848175633474515
2.022858097916469e-06,3.6105561319632278,[0.00217811 0.00212535],39.953449842620046
2.0360726011858787e-06,3.678780800759582,[0.0013712  0.00150016],117.9748939596986
2.0492871044552885e-06,3.664088228466002,[0.00286511 0.00273129],26.095096188283645
2.0625016077246983e-06,3.554931586771426,[0.00250591 0.00265554],29.87632551267221
2.075716110994108e-06,3.5764863355358063,[0.00190975 0.00195792],47.66191727808508
2.0889306142635178e-06,3.5380247436176995,[0.00151652 0.00155309],61.11419938788835
2.1021451175329275e-06,3.570075847354712,[0.00120839 0.00131862],91.16772988059843
2.1153596208023373e-06,3.492853498684641,[0.00122273 0.00123249],37.866024663336226
2.128574124071747e-06,3.520777699278322,[0.0011836  0.00124333],92.48238197555477
2.141788627341157e-06,3.491350082108632,[0.00139291 0.00152559],48.12817416135141
2.1550031306105666e-06,3.486855192653589,[0.00153312 0.00160324],54.66171596523893
2.1682176338799763e-06,3.4620677180227832,[0.00131056 0.00131253],37.248302994124565
2.181432137149386e-06,3.47228100678076,[0.00143605 0.00149554],52.923638349942664
2.194646640418796e-06,3.4229474486815374,[0.00147323 0.0014362 ],36.49579026788775
2.2078611436882056e-06,3.467326482653868,[0.00172785 0.00198011],26.27046910739027
2.2210756469576154e-06,3.4644604592774355,[0.00191387 0.00185442],25.499674976569395
2.234290150227025e-06,3.4431101064668845,[0.00215744 0.00216298],24.320668538832503
2.247504653496435e-06,3.43964090267535,[0.00181087 0.00180785],29.8955135660835
2.2607191567658447e-06,3.4202908467853197,[0.00198773 0.00190172],32.84796521261716
2.2739336600352544e-06,3.415113963147842,[0.00152565 0.00158683],38.59566567945902
2.287148163304664e-06,3.408930460887992,[0.0016033  0.00159547],70.87754864271899
2.300362666574074e-06,3.4972710869726322,[0.0021498  0.00218018],66.70806834523785
2.3135771698434837e-06,3.5105870618098356,[0.00223478 0.00214866],40.454966150820916
2.3267916731128935e-06,3.656197405814529,[0.00253359 0.0025553 ],39.19516929113347
2.3400061763823032e-06,3.535346365721439,[0.00214087 0.00222075],51.422597838130834
2.353220679651713e-06,4.031311987174908,[0.0029799  0.00273794],41.05409075890732
